기네스 범죄학,저자 : 이윤호,20000,20210930,(주식회사)퍼시픽 도도
범죄학이 오페라를 만나다,저자 : 조윤오,25000,20210930,(주)박영사
범죄수익환수 대상범죄(해설 사례 판례),저자 : 이주형,48000,20210930,(주)박영사
박준철 범죄학 객관식 기출문제집,저자 : 박준철,22000,20210825,마이패스북스
이것이 완전범죄다,저자 : 엘러리 퀸,15000,20210811,섬앤섬
완전범죄 20세기 [세트],저자 : 위선호,35200,20210731,(주)제우미디어
경찰을위한객관식범죄학,저자 : 김옥현,30000,20210721,메티스
장승일 범죄학 객관식 문제집,저자 : 장승일,34000,20210715,(주식회사)좋은책
개정판경비지도사 2차 기출문제 + 모의고사 (경비업법?범죄학),저자 : 조달환 하만정,28000,20210710,범론사
2021학년도 경기도 디지털 성범죄 Watcher,저자 : 송봉규 김예정 김재호 임수빈 정지원 박예진 김수진 김수아 송시은 김수진 원영채,16800,20210705,(주식회사)부크크
범죄심리학,저자 : 박지선,16000,20210702,(도서출판)그린
범죄 심리의 재구성(큰글자도서),저자 : 고준채,27000,20210630,(도서출판)다른
2021 EBS 경비지도사 범죄학 [일반경비],저자 : EBS 경비지도사 교수진,19600,20210630,(주)시대고시기획시대교육
2021 EBS 경비지도사 범죄학 [일반경비],저자 : EBS 경비지도사 교수진,28000,20210630,(주)시대고시기획시대교육
(2020)성범죄백서,저자 : 법무부 범죄예방정책국 문희갑 손세헌 민덕희 김근한 김상술 김용우 이선구 이민우 홍수민 임수정,23000,20210630,진한엠앤비
범죄의 역사,저자 : Victor Hugo,6500,20210626,디즈비즈북스
괴이한 미스터리 : 범죄 편 큰글자책,저자 : 엄길윤 황세연 전건우 조동신 한이,27000,20210614,나비클럽
이수정 이은진의 범죄심리 해부노트,저자 : 이수정 이은진,9800,20210611,김영사
디지털 성범죄 와의 전쟁,저자 : 최수현,7200,20210610,(도서기획출판)엠앤케이
디지털 성범죄와의 전쟁,최수현 이은주,12000,20210610,엠앤키즈(M&K)
(이수정·이은진의)범죄심리 해부노트,이수정이은진,13800,20210609,김영사
노신 쌩기초 범죄학,저자 : 노신,6500,20210607,해커스패스
완전범죄 20세기 12,저자 : 위선호,3200,20210603,(주)제우미디어
한국 범죄심리학,저자 : 황성현 이창한 이강훈 이완희 이승현,35000,20210531,피앤씨미디어
고위공직자범죄수사처 법과 제도의 이해: 각국의 검찰제도와 비교법적 관점에서,저자 : 정웅석,30100,20210531,(주)박영사
경찰을 위한 범죄학,저자 : 김옥현,19600,20210531,(주)박영사
지역사회 경찰활동과 범죄예방,저자 : 임창호,16800,20210531,(주)박영사
형사전문변호사가 말하는 성범죄 성매매 성희롱(개정판),저자 : 강민구,16099,20210531,(주)박영사
범죄수사입문,저자 : 이관희,18200,20210531,(주)박영사
경찰범죄학,저자 : 박종철,14000,20210531,(주)박영사
알렉상드르 뒤마의 유명한 범죄,저자 : Alexandre Dumas,5500,20210515,디즈비즈북스
(올라) 범죄수사학,편저인: 박노섭이동희이윤장윤식,23000,20210507,경찰공제회
범죄와 과학 수사,저자 : 네버우드,7000,20210501,블루래빗
아서 새빌 경의 범죄 [SA0019097],저자 : 오스카 와일드,60000,20210501,(주)오디언소리
반듯한 아이의 범죄심리,저자 : 가토 타이조 역자 : 장원재,8400,20210430,(주식회사)좋은땅
반듯한 아이의 범죄심리,저자 : 가토 타이조 역자 : 장원재,8400,20210428,(주식회사)좋은땅
범죄학과 형사사법체계론,지은이: 김창윤,34000,20210426,박영사
사이버범죄론,Jonathan Clough 송영진박다온정소연 역,20000,20210426,박영사
사이버범죄론,지은이: 전지연,32000,20210423,박영사
채다은 변호사가 설명하는 복잡한 법 말고 진짜 성범죄 사건,저자 : 채다은,18000,20210423,(주식회사)필통북스
(Justice) 박상민 범죄학 기본서,박상민 편저,30000,20210420,Ucon(유어콘텐츠)
완전범죄 20세기 11,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 10,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 9,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 3,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 4,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 7,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 6,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 5,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 8,저자 : 위선호,3200,20210419,(주)제우미디어
완전범죄 20세기 2,저자 : 위선호,3200,20210419,(주)제우미디어
초국가적 조직범죄 연구,함중영 지음,25000,20210415,한양대학교 출판부
변호사가 알려주는 쉽고 재미있는 범죄와 형벌 4,저자 : 김재호,5000,20210406,암마이
변호사가 알려주는 쉽고 재미있는 범죄와 형벌 3,저자 : 김재호,5000,20210405,암마이
?범죄학(증보판),저자 : ?이윤호,20300,20210331,(주)박영사
?경제범죄수사 실무매뉴얼,저자 : ?김성택,22400,20210331,(주)박영사
?범죄학 강의,저자 : 김재민 이봉한,16800,20210331,(주)박영사
지역사회 경찰활동과 범죄예방,지은이: 임창호,24000,20210330,박영사
(황남기 경찰팀과 함께하는)독한패스 박준철 범죄학,박준철,28000,20210325,마이패스북스
범죄학과 사회이론,엮은이: 데이비드 갈런드리처드 스파크스 공저자: 지그문트 바우만존 브리이스웨이트모린 케인메리 더글러스폴 허스트미할리스 리아노스다리오 멜로시니콜라스 로즈 옮긴이: 추지현곽귀병김민정김유하김재형이두원장진범정수연,25000,20210324,Th2(두번째테제)
범죄예방론,지은이: 임준태강소영김재운박현호,29000,20210319,대영문화사
변호사가 들려주는 쉽고 재미있는 범죄와 형벌이야기2,저자 : 김재호,5000,20210318,암마이
성범죄대처방법론,저자 : 김태규,9800,20210318,(주식회사)부크크
성범죄대처방법론,김태규 지음,9800,20210316,부크크
(형사전문변호사가 말하는) 성범죄 성매매 성희롱,강민구 저,35000,20210315,박영사
변호사가 들려주는 쉽고 재미있는 범죄와 형벌이야기1,저자 : 김재호,5000,20210312,암마이
(경찰을 위한) 범죄학,김옥현 저,28000,20210305,박영사
고위공직자범죄수사처 법과 제도의 이해,정웅석 저,43000,20210305,박영사
성윤리와 성범죄,저자 : 박한호,18000,20210304,(도서출판)다님길
여성과 범죄,박선영 지음,18000,20210304,맑은샘
범죄 소설집,지은이: 요시다 슈이치 옮긴이: 김은모,16000,20210301,엔케이컨텐츠
성범죄자 심리치료의 이론과 실제,송원영 저,18000,20210301,학지사
코로나19 대유행 이후 범죄 양상의 변화,저자 : 박형민 장광호 임운식,10000,20210228,한국형사정책연구원
경찰범죄학,지은이: 박종철,20000,20210225,박영사
여성과 범죄,Meda Chesney-lindLisa Pasko 지음 한민경김세령최재훈홍세은 옮김,25000,20210225,박영사
?中犯罪?比??究,지은이: 皇甫明?王?,10000,20210224,그린인쇄출판
범죄수사입문,지은이: 이관희,26000,20210223,박영사
(2021년판)범죄경찰 수사규칙,저자 : 신현덕 윤흥희 감수자 : 정해룡,180000,20210220,법률 미디어
범죄경찰 수사규칙,편저: 신현덕윤흥희,180000,20210220,법률미디어
형사법 및 범죄학개론,저자 : 보험연수원,18000,20210216,보험연수원
(2021년판)사이버범죄 수사총람,저자 : 이창복,180000,20210210,법문북스
범죄학요약법령집,저자 : 김옥현,20000,20210210,메티스
장승일 범죄학,장승일 편저,26000,20210210,좋은책
(변호사가 알려주는) 비트코인 그리고 범죄,안세익 지음,6900,20210210,부크크
(2021년판) 사이버 범죄 수사총람,편저: 이창복,180000,20210210,법률미디어
법정 및 범죄 심리학 입문,Curt R. BartolAnne M. Bartol 공저 신상화박희정윤상연이장한 공역,32000,20210210,학지사
Why? 사이버 범죄,글쓴이: 박세준 그린이: 윤현우,12800,20210210,예림당
반듯한 아이의 범죄심리,가토 타이조 지음 장원재 옮김,14000,20210204,좋은땅
문화와 범죄,저자 : 이대희,1000,20210122,키메이커
(사례중심의) 경제범죄수사 실무매뉴얼,김성택 편저,32000,20210120,박영사
범죄 그리고 범죄인,이만종 지음,29000,20210120,솔과학
현대사회와 범죄학,저자 : 이동임 천정환 윤종우 박숙완 이승우,17000,20210120,(도서출판)진영사
LIVE 과학 58권 과학 범죄 수사,저자 : 최재훈,12000,20210115,(주)천재교육
범죄수사규칙,공저: 신현덕윤흥희,180000,20210115,법률미디어
범죄의 재구성,곽명달 지음,25000,20210115,해피북미디어
범죄학 강의,김재민이봉한 공저,24000,20210111,박영사
박상민 저스티스 범죄학 기초,박상민 편저,10000,20210111,Ucon(유어콘텐츠)
여성·청소년 범죄 수사실무총서,박태곤 편저,160000,20210110,법문 북스
범죄학,지은이: 이윤호,29000,20210110,박영사
올라 범죄학,저자: 홍민지,18000,20210104,Fides
