통계년도,범죄종류,발생건수,발생비,검거건수,검거율(%),남자,여자,미상
2014년,불법사용,362,0.71,260,71.8,347,16,0
2014년,절도,260100,512.55,115018,44.2,73461,19775,827
2014년,침입절도,6322,12.46,4553,72.0,2315,158,2
2014년,부당이득,47,0.09,33,70.2,67,12,1
2014년,사기,228216,449.72,162058,71.0,174570,47661,4395
2014년,전기통신금융사기피해금환급에관한특별법,532,1.05,245,46.1,144,91,1
2014년,컴퓨터등사용사기,15197,29.95,4903,32.3,4402,1380,83
2014년,편의시설부정이용,16,0.03,14,87.5,17,3,0
2014년,살인(기수),366,0.72,358,97.8,335,99,16
2014년,"살인(미수, 예비, 음모, 방조)",572,1.13,557,97.4,531,71,11
2014년,강도,1035,2.04,990,95.7,1101,124,24
2014년,강도강간/강제추행,43,0.08,44,102.3,39,0,0
2014년,강도살인,30,0.06,30,100.0,41,10,0
2014년,강도상해,487,0.96,487,100.0,694,52,2
2014년,강도치사,1,0.0,1,100.0,1,0,0
2014년,강도치상,22,0.04,21,95.5,35,0,1
2014년,방화치사,13,0.03,13,100.0,13,2,0
2014년,방화치상,35,0.07,34,97.1,30,5,0
2014년,간음,264,0.52,259,98.1,333,1,1
2014년,강간,4828,9.51,4771,98.8,5110,80,26
2014년,"강간등(강간,준강간,간음,강제추행,준강제추행)",622,1.23,641,103.1,768,13,1
2014년,강간등살인,7,0.01,7,100.0,7,1,0
2014년,강간등상해,281,0.55,290,103.2,287,2,0
2014년,강간등치사,1,0.0,1,100.0,1,0,0
2014년,강간등치상,591,1.16,584,98.8,620,5,1
2014년,강제추행,12849,25.32,11929,92.8,11608,237,43
2014년,공중밀집장소 추행,1838,3.62,1691,92.0,1579,8,6
2014년,성적목적의 장소침입,470,0.93,449,95.5,374,1,0
2014년,카메라등 이용촬영,6735,13.27,6469,96.1,2928,56,3
2014년,통신매체 이용음란,1254,2.47,1188,94.7,989,23,4
2014년,특수강도강간등,123,0.24,141,114.6,106,1,0
2014년,폭행,145431,286.58,134047,92.2,168667,31024,1447
2014년,폭행치사,84,0.17,84,100.0,103,13,1
2014년,폭행치상,1110,2.19,1056,95.1,1204,251,21
2014년,국외이송,0,0.0,0,0.0,0,0,0
2014년,부녀매매,1,0.0,1,100.0,0,3,0
2014년,수수/은닉,1,0.0,1,100.0,1,0,0
2014년,약취/유인,200,0.39,173,86.5,183,67,5
2014년,"약취와유인상해,치상,살인,치사",0,0.0,0,0.0,0,0,0
2014년,인신매매,4,0.01,3,75.0,7,2,3
2014년,감금,1129,2.22,1022,90.5,1444,415,62
2014년,감금치사,2,0.0,2,100.0,3,0,0
2014년,감금치상,76,0.15,71,93.4,82,2,1
2014년,체포,55,0.11,38,69.1,59,20,12
2014년,체포치사,0,0.0,0,0.0,0,0,0
2014년,체포치상,3,0.01,3,100.0,6,2,0
2014년,"폭력행위등(단체등의구성,활동)",1212,2.39,1124,92.7,1666,141,2
2014년,"폭력행위등(손괴,강요,주거침입등)",2140,4.22,2066,96.5,4045,848,103
2015년,불법사용,382,0.75,299,78.27,363,25,0
2015년,절도,238261,467.04,121096,50.82,78950,21400,634
2015년,침입절도,7781,15.25,6403,82.29,2718,154,2
2015년,부당이득,66,0.13,51,77.27,65,17,12
2015년,사기,241675,473.73,191524,79.25,178460,50432,3809
2015년,전기통신금융사기피해금환급에관한특별법,4524,8.87,2499,55.24,1822,998,25
2015년,컴퓨터등사용사기,11261,22.07,5367,47.66,4138,1895,94
2015년,편의시설부정이용,94,0.18,51,54.26,50,12,1
2015년,살인(기수),359,0.7,347,96.66,299,80,34
2015년,"살인(미수, 예비, 음모, 방조)",599,1.17,581,96.99,534,89,14
2015년,강도,923,1.81,918,99.46,1023,124,13
2015년,강도강간/강제추행,21,0.04,23,109.52,17,0,0
2015년,강도살인,29,0.06,30,103.45,47,3,0
2015년,강도상해,472,0.93,480,101.69,679,88,12
2015년,강도치사,1,0.0,1,100.0,1,0,0
2015년,강도치상,26,0.05,30,115.38,39,0,0
2015년,방화치사,15,0.03,14,93.33,12,3,0
2015년,방화치상,36,0.07,35,97.22,28,9,0
2015년,간음,251,0.49,251,100.0,298,4,0
2015년,강간,5023,9.85,4956,98.67,5357,56,18
2015년,"강간등(강간,준강간,간음,강제추행,준강제추행)",283,0.55,283,100.0,340,17,0
2015년,강간등살인,5,0.01,5,100.0,8,0,0
2015년,강간등상해,276,0.54,273,98.91,284,9,2
2015년,강간등치사,1,0.0,1,100.0,1,0,0
2015년,강간등치상,573,1.12,570,99.48,635,11,3
2015년,강제추행,13266,26.0,12670,95.51,12522,248,31
2015년,공중밀집장소 추행,1901,3.73,1766,92.9,1773,6,1
2015년,성적목적의 장소침입,543,1.06,515,94.84,471,2,0
2015년,카메라등 이용촬영,7730,15.15,7543,97.58,3924,94,5
2015년,통신매체 이용음란,1139,2.23,1073,94.21,964,38,2
2015년,특수강도강간등,72,0.14,75,104.17,74,1,0
2015년,폭행,160250,314.12,150477,93.9,181612,35883,1466
2015년,폭행치사,70,0.14,69,98.57,69,13,0
2015년,폭행치상,1316,2.58,1270,96.5,1394,260,5
2015년,국외이송,0,0.0,0,0.0,0,0,0
2015년,부녀매매,0,0.0,0,0.0,2,0,0
2015년,수수/은닉,0,0.0,0,0.0,0,0,0
2015년,약취/유인,188,0.37,179,95.21,161,76,27
2015년,"약취와유인상해,치상,살인,치사",1,0.0,1,100.0,1,0,0
2015년,인신매매,6,0.01,6,100.0,16,7,0
2015년,감금,1273,2.5,1188,93.32,1658,439,90
2015년,감금치사,2,0.0,2,100.0,5,0,0
2015년,감금치상,58,0.11,61,105.17,85,13,1
2015년,체포,49,0.1,37,75.51,64,11,5
2015년,체포치사,0,0.0,0,0.0,0,0,0
2015년,체포치상,1,0.0,1,100.0,1,0,0
2015년,"폭력행위등(단체등의구성,활동)",1123,2.2,1056,94.03,1968,161,10
2015년,"폭력행위등(손괴,강요,주거침입등)",2207,4.33,2061,93.38,4180,788,151
2016년,불법사용,522,1.02,423,81.034,644,27,3
2016년,절도,195693,382.08,112366,57.42,78680,24349,470
2016년,침입절도,7358,14.37,6221,84.547,2964,167,4
2016년,부당이득,52,0.1,44,84.615,50,14,2
2016년,사기,242530,473.53,199194,82.132,177546,50197,3523
2016년,전기통신금융사기피해금환급에관한특별법,2687,5.25,1416,52.698,1095,469,20
2016년,컴퓨터등사용사기,5072,9.9,2396,47.24,2125,670,43
2016년,편의시설부정이용,227,0.44,156,68.722,156,46,1
2016년,살인(기수),344,0.67,333,96.802,278,73,21
2016년,"살인(미수, 예비, 음모, 방조)",604,1.18,603,99.834,588,73,10
2016년,강도,733,1.43,741,101.091,949,128,105
2016년,강도강간/강제추행,16,0.03,20,125.0,18,0,0
2016년,강도살인,21,0.04,22,104.762,24,1,0
2016년,강도상해,382,0.75,383,100.262,553,39,3
2016년,강도치사,2,0.0,1,50.0,1,0,0
2016년,강도치상,27,0.05,28,103.704,21,4,0
2016년,방화치사,15,0.03,13,86.667,12,1,0
2016년,방화치상,25,0.05,23,92.0,22,4,0
2016년,간음,267,0.52,263,98.502,328,6,1
2016년,강간,5145,10.05,5071,98.562,5655,65,9
2016년,"강간등(강간,준강간,간음,강제추행,준강제추행)",192,0.37,195,101.562,272,6,1
2016년,강간등살인,6,0.01,6,100.0,7,0,0
2016년,강간등상해,201,0.39,204,101.493,218,1,0
2016년,강간등치사,2,0.0,2,100.0,1,0,0
2016년,강간등치상,535,1.04,517,96.636,559,7,0
2016년,강제추행,14339,28.0,13768,96.018,13983,344,21
2016년,공중밀집장소 추행,1773,3.46,1654,93.288,1674,11,3
2016년,성적목적의 장소침입,477,0.93,448,93.92,438,1,1
2016년,카메라등 이용촬영,5249,10.25,4968,94.647,4385,117,6
2016년,통신매체 이용음란,1115,2.18,1044,93.632,1053,59,3
2016년,특수강도강간등,56,0.11,57,101.786,54,0,0
2016년,폭행,170277,332.46,161620,94.916,193222,39386,1624
2016년,폭행치사,71,0.14,69,97.183,63,13,2
2016년,폭행치상,1723,3.36,1678,97.388,1848,334,13
2016년,국외이송,0,0.0,0,0.0,0,0,0
2016년,부녀매매,0,0.0,0,0.0,0,0,0
2016년,수수/은닉,0,0.0,0,0.0,0,0,0
2016년,약취/유인,194,0.38,184,94.845,207,67,14
2016년,"약취와유인상해,치상,살인,치사",1,0.0,1,100.0,1,0,0
2016년,인신매매,8,0.02,8,100.0,4,4,0
2016년,감금,1417,2.77,1336,94.284,1767,465,108
2016년,감금치사,0,0.0,0,0.0,0,0,0
2016년,감금치상,102,0.2,97,95.098,140,31,2
2016년,체포,55,0.11,46,83.636,89,12,1
2016년,체포치사,0,0.0,0,0.0,0,0,0
2016년,체포치상,5,0.01,3,60.0,6,1,0
2016년,"폭력행위등(단체등의구성,활동)",190,0.37,190,100.0,569,32,0
2016년,"폭력행위등(손괴,강요,주거침입등)",878,1.71,835,95.103,2396,617,47
2017년,불법사용,548,1.07,450,82.117,645,29,0
2017년,절도,176994,344.6,107802,60.907,77177,25024,467
2017년,침입절도,6813,13.26,6011,88.228,3095,216,3
2017년,부당이득,59,0.11,34,57.627,50,19,5
2017년,사기,233203,454.04,185556,79.568,165912,46783,3585
2017년,전기통신금융사기피해금환급에관한특별법,2348,4.57,1239,52.768,992,380,13
2017년,컴퓨터등사용사기,4085,7.95,1703,41.689,1651,412,26
2017년,편의시설부정이용,713,1.39,530,74.334,537,116,14
2017년,살인(기수),287,0.56,286,99.652,263,63,9
2017년,"살인(미수, 예비, 음모, 방조)",571,1.11,561,98.249,525,78,48
2017년,강도,623,1.21,627,100.642,761,81,6
2017년,강도강간/강제추행,19,0.04,21,110.526,19,0,2
2017년,강도살인,26,0.05,26,100.0,27,4,0
2017년,강도상해,303,0.59,302,99.67,501,59,11
2017년,강도치사,0,0.0,0,0.0,0,0,0
2017년,강도치상,19,0.04,17,89.474,25,1,0
2017년,방화치사,12,0.02,10,83.333,11,2,0
2017년,방화치상,22,0.04,20,90.909,20,4,0
2017년,간음,268,0.52,265,98.881,320,6,1
2017년,강간,5287,10.29,5181,97.995,5883,79,13
