통계년도,범죄종류,전과없음,전과1범,전과2범,전과3범,전과4범,전과5범,전과6범,전과7범,전과8범,전과9범이상,미상
2014-01-01,강도,411,230,181,139,113,91,96,73,51,528,211
2014-01-01,방화,362,173,112,112,78,65,60,37,48,296,108
2014-01-01,살인,257,101,70,62,44,44,35,28,33,190,199
2014-01-01,성폭력,9179,3384,2166,1400,1051,803,591,452,393,2284,3520
2014-01-01,공갈,1507,634,484,385,333,299,239,201,183,1635,1597
2014-01-01,상해,27417,13054,9370,7191,5600,4567,3901,2903,2547,16263,9507
2014-01-01,약취와 유인,60,29,17,12,8,7,7,8,3,36,84
2014-01-01,체포와 감금,343,158,131,97,64,51,50,41,21,243,909
2014-01-01,"폭력행위등(단체등의구성,활동)",323,145,124,114,94,69,66,72,52,406,344
2014-01-01,"폭력행위등(손괴,강요,주거침입등)",1380,546,373,304,241,187,154,114,104,592,1001
2014-01-01,폭행,32457,15529,11588,8956,6953,5738,4561,3545,3138,20386,89880
2014-01-01,협박,1591,837,671,588,477,394,314,273,220,1732,3108
2015-01-01,강도,442,200,149,134,104,82,67,65,66,542,195
2015-01-01,방화,319,179,137,107,87,86,59,55,44,281,126
2015-01-01,살인,238,112,68,77,42,37,44,29,18,176,209
2015-01-01,성폭력,10103,3576,2191,1509,1029,840,608,523,389,2319,4112
2015-01-01,공갈,1168,504,345,282,228,188,194,136,132,1143,1443
2015-01-01,상해,25062,11710,8375,6410,5159,4152,3408,2676,2253,15064,9060
2015-01-01,약취와 유인,52,20,12,16,4,7,8,3,2,38,128
2015-01-01,체포와 감금,429,182,149,105,93,55,64,36,39,241,979
2015-01-01,"폭력행위등(단체등의구성,활동)",306,192,135,124,110,94,97,83,62,538,398
2015-01-01,"폭력행위등(손괴,강요,주거침입등)",1408,607,378,265,227,191,166,124,109,659,985
2015-01-01,폭행,35850,16857,12475,9419,7309,5957,4878,3754,3158,21147,99900
2015-01-01,협박,2546,1370,1127,903,743,611,457,391,323,2304,4376
2016-01-01,강도,319,182,134,101,99,84,73,52,52,471,279
2016-01-01,방화,330,161,128,91,70,68,41,41,33,259,129
2016-01-01,살인,270,113,80,61,41,54,27,35,30,155,177
