통계년도,범죄종류,유흥,오락,생활비,도박,학비,증여,소지중,기타,미상
2014년,절도,7947,1495,29435,894,16,144,12870,62701,4329
2014년,강도,150,18,308,14,0,0,95,796,192
2015년,절도,6299,1519,29558,1149,12,163,15922,66983,6193
2015년,강도,132,20,302,16,0,0,97,727,188
2016년,절도,4341,1176,25772,650,7,202,17075,64439,5348
2016년,강도,71,17,176,11,0,1,90,662,167
2017년,절도,3376,952,22895,536,11,203,18445,62644,5201
2017년,강도,63,11,191,8,0,1,79,526,114
2018년,절도,3199,828,23139,485,5,163,15807,59162,4420
2018년,강도,39,9,174,6,0,0,55,441,106
2019년,절도,2902,751,22689,579,7,169,15811,66634,4661
2019년,강도,78,9,155,10,0,0,56,399,136
