,자치구,범죄발생합계,위도,경도
0,강동구,27292,37.549207700000004,127.1464824
1,양천구,23893,37.5270616,126.8561534
2,금천구,20931,37.460096899999996,126.90015459999998
3,동대문구,25217,37.5838012,127.0507003
4,은평구,26030,37.6176125,126.9227004
5,영등포구,37821,37.520641,126.91392420000001
6,용산구,22540,37.5311008,126.98107420000001
7,도봉구,14584,37.6658609,127.0317674
8,광진구,30071,37.5481445,127.0857528
9,노원구,27354,37.655264,127.07712009999999
10,구로구,30813,37.4954856,126.858121
11,송파구,37953,37.5048534,127.1144822
12,종로구,25778,37.5990998,126.98614930000001
13,마포구,32759,37.562290600000004,126.9087803
14,동작구,21000,37.4965037,126.94430729999999
15,서대문구,20746,37.5820369,126.93566650000001
16,강북구,23184,37.646995399999994,127.0147158
17,관악구,34683,37.465399299999994,126.9438071
18,성북구,21857,37.606991,127.0232185
19,중구,27310,37.557945200000006,126.99419040000001
20,서초구,30967,37.4769528,127.03781029999999
21,강서구,31012,37.5657617,126.8226561
22,성동구,17702,37.550675299999995,127.0409622
23,중랑구,28714,37.5953795,127.0939669
24,강남구,48154,37.4959854,127.0664091
