room_sigudong,room_number,longitude,latitude,security_score,security_fac,room_area,room_contract,building_type,room_price,URL
서울특별시 마포구 신수동,11792587,126.938934992773,37.5478931827566,19,현관보안 / CCTV / 인터폰 / 방범창,25.02,전세,공동주택,3억7000,https://www.peterpanz.com/house/11792587
서울특별시 강서구 화곡동,11792551,126.85559901145,37.533454632472,9,인터폰 / 카드키 / 방범창,44.3,전세,공동주택,1억3500,https://www.peterpanz.com/house/11792551
서울특별시 양천구 목동,11792500,126.87437592245,37.5446457655779,17,현관보안 / CCTV / 인터폰 / 비디오폰,26.26,전세,공동주택,1억8900,https://www.peterpanz.com/house/11792500
서울특별시 강서구 화곡동,11792490,126.855945474322,37.5366526793253,17,현관보안 / CCTV / 인터폰 / 비디오폰,23.7,전세,공동주택,1억5000,https://www.peterpanz.com/house/11792490
경기도 부천시 괴안동,11792481,126.812851806812,37.4811451234788,10,현관보안 / 비디오폰,49.58,전세,공동주택,1억9500,https://www.peterpanz.com/house/11792481
경기도 부천시 소사동,11792476,126.79309871833,37.484667502837,10,현관보안 / 비디오폰,46.27,전세,공동주택,1억7500,https://www.peterpanz.com/house/11792476
서울특별시 서초구 양재동,11792466,127.03874973879,37.48178515981,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,29.75,전세,공동주택,5억7000,https://www.peterpanz.com/house/11792466
서울특별시 강남구 논현동,11792457,127.02707083768,37.50920086102,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,22.05,전세,공동주택,4억700,https://www.peterpanz.com/house/11792457
서울특별시 서초구 방배동,11792451,126.98898870735,37.487306781386,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,44.45,전세,공동주택,4억7500,https://www.peterpanz.com/house/11792451
경기도 부천시 심곡동,11792495,126.77737274378,37.485059545616,17,현관보안 / CCTV / 인터폰 / 비디오폰,29.04,전세,공동주택,1억5000,https://www.peterpanz.com/house/11792495
