No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,유흥,오락,생활비,도박,학비,증여,소지중,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,계,계[입력치],계[입력치],"121,404","8,097","1,513","29,743",908,16,144,"12,965","63,497","4,521"
2,2014년,형법범,재산범죄,절도,"119,831","7,947","1,495","29,435",894,16,144,"12,870","62,701","4,329"
3,2014년,형법범,강력범죄(흉악),강도,"1,573",150,18,308,14,0,0,95,796,192
4,2015년,계,계[입력치],계[입력치],"129,280","6,431","1,539","29,860","1,165",12,163,"16,019","67,710","6,381"
5,2015년,형법범,재산범죄,절도,"127,798","6,299","1,519","29,558","1,149",12,163,"15,922","66,983","6,193"
6,2015년,형법범,강력범죄(흉악),강도,"1,482",132,20,302,16,0,0,97,727,188
7,2016년,계,계[입력치],계[입력치],"120,205","4,412","1,193","25,948",661,7,203,"17,165","65,101","5,515"
8,2016년,형법범,재산범죄,절도,"119,010","4,341","1,176","25,772",650,7,202,"17,075","64,439","5,348"
9,2016년,형법범,강력범죄(흉악),강도,"1,195",71,17,176,11,0,1,90,662,167
10,2017년,계,계[입력치],계[입력치],"115,256","3,439",963,"23,086",544,11,204,"18,524","63,170","5,315"
11,2017년,형법범,재산범죄,절도,"114,263","3,376",952,"22,895",536,11,203,"18,445","62,644","5,201"
12,2017년,형법범,강력범죄(흉악),강도,993,63,11,191,8,0,1,79,526,114
13,2018년,계,계[입력치],계[입력치],"108,038","3,238",837,"23,313",491,5,163,"15,862","59,603","4,526"
14,2018년,형법범,재산범죄,절도,"107,208","3,199",828,"23,139",485,5,163,"15,807","59,162","4,420"
15,2018년,형법범,강력범죄(흉악),강도,830,39,9,174,6,0,0,55,441,106
16,2019년,계,계[입력치],계[입력치],"115,046","2,980",760,"22,844",589,7,169,"15,867","67,033","4,797"
17,2019년,형법범,재산범죄,절도,"114,203","2,902",751,"22,689",579,7,169,"15,811","66,634","4,661"
18,2019년,형법범,강력범죄(흉악),강도,843,78,9,155,10,0,0,56,399,136
