No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명)
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,재산범죄,절도,불법사용,362,0.71,260,71.8,363,347,16,0
2,2014년,형법범,재산범죄,절도,절도,"260,100",512.55,"115,018",44.2,"94,063","73,461","19,775",827
3,2014년,형법범,재산범죄,절도,침입절도,"6,322",12.46,"4,553",72,"2,475","2,315",158,2
4,2014년,형법범,재산범죄,사기,보험사기방지특별법,,,,,,,,
5,2014년,형법범,재산범죄,사기,부당이득,47,0.09,33,70.2,80,67,12,1
6,2014년,형법범,재산범죄,사기,사기,"228,216",449.72,"162,058",71,"226,626","174,570","47,661","4,395"
7,2014년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,532,1.05,245,46.1,236,144,91,1
8,2014년,형법범,재산범죄,사기,컴퓨터등사용사기,"15,197",29.95,"4,903",32.3,"5,865","4,402","1,380",83
9,2014년,형법범,재산범죄,사기,편의시설부정이용,16,0.03,14,87.5,20,17,3,0
10,2014년,형법범,강력범죄(흉악),살인,살인(기수),366,0.72,358,97.8,450,335,99,16
11,2014년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",572,1.13,557,97.4,613,531,71,11
12,2014년,형법범,강력범죄(흉악),강도,강도,"1,035",2.04,990,95.7,"1,249","1,101",124,24
13,2014년,형법범,강력범죄(흉악),강도,강도강간/강제추행,43,0.08,44,102.3,39,39,0,0
14,2014년,형법범,강력범죄(흉악),강도,강도살인,30,0.06,30,100,51,41,10,0
15,2014년,형법범,강력범죄(흉악),강도,강도상해,487,0.96,487,100,748,694,52,2
16,2014년,형법범,강력범죄(흉악),강도,강도치사,1,0.00,1,100,1,1,0,0
17,2014년,형법범,강력범죄(흉악),강도,강도치상,22,0.04,21,95.5,36,35,0,1
18,2014년,형법범,강력범죄(흉악),방화,방화치사,13,0.03,13,100,15,13,2,0
19,2014년,형법범,강력범죄(흉악),방화,방화치상,35,0.07,34,97.1,35,30,5,0
20,2014년,형법범,강력범죄(흉악),성폭력,간음,264,0.52,259,98.1,335,333,1,1
21,2014년,형법범,강력범죄(흉악),성폭력,강간,"4,828",9.51,"4,771",98.8,"5,216","5,110",80,26
22,2014년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",622,1.23,641,103.1,782,768,13,1
23,2014년,형법범,강력범죄(흉악),성폭력,강간등살인,7,0.01,7,100,8,7,1,0
24,2014년,형법범,강력범죄(흉악),성폭력,강간등상해,281,0.55,290,103.2,289,287,2,0
25,2014년,형법범,강력범죄(흉악),성폭력,강간등치사,1,0.00,1,100,1,1,0,0
26,2014년,형법범,강력범죄(흉악),성폭력,강간등치상,591,1.16,584,98.8,626,620,5,1
27,2014년,형법범,강력범죄(흉악),성폭력,강제추행,"12,849",25.32,"11,929",92.8,"11,888","11,608",237,43
28,2014년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,838",3.62,"1,691",92,"1,593","1,579",8,6
29,2014년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,470,0.93,449,95.5,375,374,1,0
30,2014년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"6,735",13.27,"6,469",96.1,"2,987","2,928",56,3
31,2014년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,254",2.47,"1,188",94.7,"1,016",989,23,4
32,2014년,형법범,강력범죄(흉악),성폭력,특수강도강간등,123,0.24,141,114.6,107,106,1,0
33,2014년,형법범,강력범죄(폭력),폭행,폭행,"145,431",286.58,"134,047",92.2,"201,138","168,667","31,024","1,447"
34,2014년,형법범,강력범죄(폭력),폭행,폭행치사,84,0.17,84,100,117,103,13,1
35,2014년,형법범,강력범죄(폭력),폭행,폭행치상,"1,110",2.19,"1,056",95.1,"1,476","1,204",251,21
36,2014년,형법범,강력범죄(폭력),약취와 유인,국외이송,0,0.00,0,0,0,0,0,0
37,2014년,형법범,강력범죄(폭력),약취와 유인,부녀매매,1,0.00,1,100,3,0,3,0
