No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"1,618",249,297,86,92,120,115,142,204,313
2,2014년,형법범,강력범죄(흉악),방화,"1,707",223,209,97,125,144,219,209,318,163
3,2014년,형법범,강력범죄(흉악),살인,938,82,86,65,94,91,101,135,155,129
4,2014년,형법범,강력범죄(흉악),성폭력,"29,863","2,511","2,651","2,275","2,197","2,330","3,059","3,576","4,405","6,859"
5,2014년,형법범,강력범죄(폭력),공갈,"7,162",333,242,150,584,589,822,931,819,"2,692"
6,2014년,형법범,강력범죄(폭력),상해,"65,840","8,320","6,632","3,615","4,642","4,428","5,739","8,071","13,925","10,468"
7,2014년,형법범,강력범죄(폭력),약취와 유인,206,6,5,18,23,28,30,27,12,57
8,2014년,형법범,강력범죄(폭력),체포와 감금,"1,265",57,84,84,155,116,123,137,154,355
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,212",154,126,69,84,70,101,167,264,177
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,140",212,182,150,230,196,232,277,364,297
11,2014년,형법범,강력범죄(폭력),폭행,"146,625","20,789","16,233","7,791","9,147","9,464","12,069","18,917","35,198","17,017"
12,2014년,형법범,강력범죄(폭력),협박,"9,205",626,459,445,980,863,"1,004","1,267","1,429","2,132"
13,2015년,형법범,강력범죄(흉악),강도,"1,472",232,262,79,110,102,93,147,186,261
14,2015년,형법범,강력범죄(흉악),방화,"1,646",184,162,108,144,150,188,248,299,163
15,2015년,형법범,강력범죄(흉악),살인,958,74,85,73,108,84,114,137,156,127
16,2015년,형법범,강력범죄(흉악),성폭력,"31,063","2,518","2,665","2,465","2,122","2,473","3,262","3,826","4,635","7,097"
17,2015년,형법범,강력범죄(폭력),공갈,"5,356",220,157,129,441,416,644,777,604,"1,968"
18,2015년,형법범,강력범죄(폭력),상해,"62,700","7,657","6,366","3,598","4,641","4,492","5,726","7,705","13,076","9,439"
19,2015년,형법범,강력범죄(폭력),약취와 유인,195,6,5,10,25,24,35,20,21,49
20,2015년,형법범,강력범죄(폭력),체포와 감금,"1,383",79,88,62,194,137,161,181,188,293
21,2015년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,123",100,108,72,80,87,101,129,204,242
22,2015년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,207",281,180,131,240,191,221,275,336,352
23,2015년,형법범,강력범죄(폭력),폭행,"161,636","22,467","18,015","8,883","10,576","10,695","13,315","20,874","38,481","18,330"
24,2015년,형법범,강력범죄(폭력),협박,"14,107",906,725,788,"1,570","1,345","1,571","2,025","2,331","2,846"
25,2016년,형법범,강력범죄(흉악),강도,"1,181",150,200,78,77,107,86,136,142,205
26,2016년,형법범,강력범죄(흉악),방화,"1,477",170,185,104,120,141,155,210,267,125
27,2016년,형법범,강력범죄(흉악),살인,948,77,70,75,98,102,122,109,193,102
28,2016년,형법범,강력범죄(흉악),성폭력,"29,357","2,897","2,852","2,202","1,996","2,241","2,894","3,710","4,903","5,662"
29,2016년,형법범,강력범죄(폭력),공갈,"4,763",216,144,116,455,420,541,570,478,"1,823"
30,2016년,형법범,강력범죄(폭력),상해,"55,761","6,971","5,605","3,372","4,340","4,160","5,095","7,031","11,461","7,726"
31,2016년,형법범,강력범죄(폭력),약취와 유인,203,7,9,9,28,28,33,32,15,42
32,2016년,형법범,강력범죄(폭력),체포와 감금,"1,579",113,105,114,182,154,203,212,222,274
33,2016년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",190,16,8,8,8,22,17,19,20,72
34,2016년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",878,65,65,50,119,98,90,96,126,169
35,2016년,형법범,강력범죄(폭력),폭행,"172,071","23,719","19,177","9,995","11,605","11,862","14,426","22,387","40,428","18,472"
36,2016년,형법범,강력범죄(폭력),협박,"16,444","1,092",812,"1,070","1,905","1,769","2,012","2,329","2,757","2,698"
37,2017년,형법범,강력범죄(흉악),강도,990,132,162,58,72,77,90,100,136,163
