No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,아파트연립다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"1,618",138,182,2,423,217,10,90,101,33,3,3,0,2,1,14,6,21,2,12,8,6,4,0,0,0,0,340
2,2014년,형법범,강력범죄(흉악),방화,"1,707",258,318,1,208,27,29,26,65,46,19,4,9,10,5,4,3,17,5,0,16,16,10,0,0,0,0,611
3,2014년,형법범,강력범죄(흉악),살인,938,186,197,3,185,8,4,37,37,22,8,1,2,5,0,12,3,4,2,0,12,3,14,2,0,0,0,191
4,2014년,형법범,강력범죄(흉악),성폭력,"29,863","2,584","2,629",13,"4,919",766,122,"2,604","2,115",655,60,10,22,"1,269","1,200","1,243",154,268,440,18,234,73,68,1,8,14,5,"8,369"
5,2014년,형법범,강력범죄(폭력),공갈,"7,162",351,411,5,"1,662",257,133,135,"1,411",477,59,24,3,37,5,50,86,71,175,43,49,13,12,3,1,3,0,"1,686"
6,2014년,형법범,강력범죄(폭력),상해,"65,840","4,222","4,159",65,"23,747","1,033",469,784,"7,844","2,228",527,328,48,180,47,366,155,699,598,21,597,166,260,38,18,92,20,"17,129"
7,2014년,형법범,강력범죄(폭력),약취와 유인,206,22,21,0,66,3,1,8,4,4,0,0,0,6,0,5,0,1,9,1,2,1,1,1,0,0,0,50
8,2014년,형법범,강력범죄(폭력),체포와 감금,"1,265",121,105,7,295,13,5,68,48,76,13,3,2,1,0,55,2,7,9,0,85,6,2,0,1,0,0,341
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,212",81,75,4,331,11,6,14,162,40,7,5,1,0,2,1,3,13,2,1,2,7,3,0,0,0,0,441
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,140",207,250,5,558,29,16,34,117,105,23,15,2,1,0,2,5,9,26,4,12,31,26,4,0,0,0,659
11,2014년,형법범,강력범죄(폭력),폭행,"146,625","7,915","6,869",132,"58,095","2,462",576,"1,052","12,158","2,888",426,322,33,422,251,"1,241",425,"1,343",581,61,965,332,199,55,53,89,13,"47,667"
12,2014년,형법범,강력범죄(폭력),협박,"9,205","1,056","1,265",32,"1,736",229,80,87,625,574,41,24,3,18,6,46,22,53,51,9,109,36,38,3,1,13,1,"3,047"
13,2015년,형법범,강력범죄(흉악),강도,"1,472",99,143,3,408,203,7,109,85,32,5,2,1,2,1,12,0,7,2,16,2,4,12,0,0,0,0,317
14,2015년,형법범,강력범죄(흉악),방화,"1,646",246,286,0,194,25,12,29,45,50,20,4,16,8,1,0,0,17,6,6,17,10,10,1,0,0,2,641
