No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(소계),정상(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),주취(소계),주취(소계),주취(소계),월경시이상,미상
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(남),정상(여),정신장애(소계),정신이상(소계),정신이상(남),정신이상(여),정신박약(소계),정신박약(남),정신박약(여),기타정신장애(소계),기타정신장애(남),기타정신장애(여),주취(소계),주취(남),주취(여),월경시이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"2,097","1,911",186,"1,541","1,404",137,42,13,10,3,4,4,0,25,20,5,324,318,6,0,190
2,2014년,형법범,강력범죄(흉악),방화,"1,444","1,260",184,535,466,69,126,47,32,15,9,7,2,70,61,9,679,606,73,0,104
3,2014년,형법범,강력범죄(흉악),살인,"1,036",866,170,432,341,91,64,27,25,2,2,2,0,35,23,12,357,333,24,0,183
4,2014년,형법범,강력범죄(흉악),성폭력,"25,138","24,710",428,"13,001","12,778",223,499,95,95,0,69,69,0,335,330,5,"7,985","7,933",52,0,"3,653"
5,2014년,형법범,강력범죄(폭력),공갈,"7,388","6,410",978,"5,028","4,355",673,22,4,4,0,3,3,0,15,11,4,826,802,24,0,"1,512"
6,2014년,형법범,강력범죄(폭력),상해,"101,931","85,703","16,228","47,566","37,904","9,662",606,215,163,52,37,29,8,354,268,86,"44,431","40,015","4,416",2,"9,326"
7,2014년,형법범,강력범죄(폭력),약취와 유인,263,191,72,159,118,41,4,1,0,1,1,1,0,2,2,0,22,22,0,0,78
8,2014년,형법범,강력범죄(폭력),체포와 감금,"2,033","1,594",439,"1,027",842,185,8,2,2,0,0,0,0,6,6,0,150,144,6,0,848
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,807","1,666",141,827,755,72,14,7,5,2,0,0,0,7,4,3,621,578,43,0,345
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","4,893","4,045",848,"2,894","2,354",540,53,23,16,7,2,2,0,28,21,7,"1,024",948,76,0,922
11,2014년,형법범,강력범죄(폭력),폭행,"201,262","169,974","31,288","53,372","42,920","10,452",722,253,160,93,49,29,20,420,295,125,"56,663","50,517","6,146",2,"90,503"
12,2014년,형법범,강력범죄(폭력),협박,"10,037","8,892","1,145","3,966","3,445",521,115,45,38,7,4,3,1,66,54,12,"2,930","2,826",104,0,"3,026"
13,2015년,형법범,강력범죄(흉악),강도,"2,021","1,806",215,"1,494","1,320",174,36,12,11,1,6,6,0,18,17,1,316,309,7,0,175
14,2015년,형법범,강력범죄(흉악),방화,"1,479","1,262",217,554,473,81,125,56,40,16,8,7,1,61,40,21,672,593,79,0,128
15,2015년,형법범,강력범죄(흉악),살인,"1,002",833,169,418,350,68,66,29,24,5,2,2,0,35,16,19,350,335,15,0,168
16,2015년,형법범,강력범죄(흉악),성폭력,"27,137","26,651",486,"14,068","13,818",250,554,94,92,2,85,83,2,375,367,8,"8,261","8,186",75,0,"4,254"
17,2015년,형법범,강력범죄(폭력),공갈,"5,701","4,948",753,"3,855","3,355",500,24,6,6,0,1,1,0,17,17,0,424,416,8,0,"1,398"
18,2015년,형법범,강력범죄(폭력),상해,"93,049","78,009","15,040","44,206","35,306","8,900",601,205,162,43,32,23,9,364,260,104,"39,256","35,194","4,062",0,"8,986"
