No,자료시점,분류,분류,분류,계(A),계(A),계(A),계(A),B/A X 100
No,자료시점,분류,분류,분류,계(A),남,여(B),미상,B/A X 100
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"2,124","1,911",186,27,8.76
2,2014년,형법범,강력범죄(흉악),방화,"1,451","1,260",184,7,12.68
3,2014년,형법범,강력범죄(흉악),살인,"1,063",866,170,27,15.99
4,2014년,형법범,강력범죄(흉악),성폭력,"25,223","24,710",428,85,1.70
5,2014년,형법범,강력범죄(폭력),공갈,"7,497","6,410",978,109,13.05
6,2014년,형법범,강력범죄(폭력),상해,"102,320","85,703","16,228",389,15.86
7,2014년,형법범,강력범죄(폭력),약취와 유인,271,191,72,8,26.57
8,2014년,형법범,강력범죄(폭력),체포와 감금,"2,108","1,594",439,75,20.83
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,809","1,666",141,2,7.79
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","4,996","4,045",848,103,16.97
11,2014년,형법범,강력범죄(폭력),폭행,"202,731","169,974","31,288","1,469",15.43
12,2014년,형법범,강력범죄(폭력),협박,"10,205","8,892","1,145",168,11.22
13,2015년,형법범,강력범죄(흉악),강도,"2,046","1,806",215,25,10.51
14,2015년,형법범,강력범죄(흉악),방화,"1,480","1,262",217,1,14.66
15,2015년,형법범,강력범죄(흉악),살인,"1,050",833,169,48,16.10
16,2015년,형법범,강력범죄(흉악),성폭력,"27,199","26,651",486,62,1.79
17,2015년,형법범,강력범죄(폭력),공갈,"5,763","4,948",753,62,13.07
18,2015년,형법범,강력범죄(폭력),상해,"93,329","78,009","15,040",280,16.12
19,2015년,형법범,강력범죄(폭력),약취와 유인,290,180,83,27,28.62
20,2015년,형법범,강력범죄(폭력),체포와 감금,"2,372","1,813",463,96,19.52
21,2015년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","2,139","1,968",161,10,7.53
22,2015년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","5,119","4,180",788,151,15.39
23,2015년,형법범,강력범죄(폭력),폭행,"220,704","183,077","36,156","1,471",16.38
24,2015년,형법범,강력범죄(폭력),협박,"15,151","13,266","1,641",244,10.83
