No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,국가,공무원,고용자,피고용자,직장동료,친구,애인,동거친족,기타친족,거래상대방,이웃,지인,타인,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"2,124",0,1,7,5,17,39,32,4,12,39,22,90,"1,593",45,218
2,2014년,형법범,강력범죄(흉악),방화,"1,451",55,25,20,11,6,6,90,219,55,18,99,48,600,87,112
3,2014년,형법범,강력범죄(흉악),살인,"1,063",0,0,5,2,43,36,108,187,52,9,50,108,229,32,202
4,2014년,형법범,강력범죄(흉악),성폭력,"25,223",8,9,177,284,691,731,686,428,203,196,661,"1,815","14,864",721,"3,749"
5,2014년,형법범,강력범죄(폭력),공갈,"7,497",45,8,35,32,37,422,97,8,23,312,82,468,"3,903",410,"1,615"
6,2014년,형법범,강력범죄(폭력),상해,"102,320",5,78,300,348,"5,131","4,815","2,718","4,610","1,823","1,376","4,961","8,270","55,285","2,880","9,720"
7,2014년,형법범,강력범죄(폭력),약취와 유인,271,0,0,4,11,0,0,5,11,30,2,1,4,111,6,86
8,2014년,형법범,강력범죄(폭력),체포와 감금,"2,108",2,2,21,23,22,37,200,75,37,57,14,103,496,97,922
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,809",121,1,10,6,56,47,45,82,28,24,62,119,717,143,348
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","4,996",48,21,60,27,59,78,78,94,102,114,211,239,"2,487",351,"1,027"
11,2014년,형법범,강력범죄(폭력),폭행,"202,731",2,217,264,373,"2,938","3,459","2,967","7,120","1,494","2,193","4,337","6,646","75,586","3,292","91,843"
12,2014년,형법범,강력범죄(폭력),협박,"10,205",22,23,37,38,163,168,448,857,278,189,527,529,"3,379",376,"3,171"
13,2015년,형법범,강력범죄(흉악),강도,"2,046",2,3,2,3,17,38,26,8,13,50,22,110,"1,485",91,176
14,2015년,형법범,강력범죄(흉악),방화,"1,480",80,5,20,2,9,8,93,224,45,31,78,42,524,191,128
15,2015년,형법범,강력범죄(흉악),살인,"1,050",0,0,4,7,48,34,102,198,52,2,43,101,214,52,193
16,2015년,형법범,강력범죄(흉악),성폭력,"27,199",9,26,169,294,744,788,802,485,203,189,581,"1,718","16,106","1,096","3,989"
17,2015년,형법범,강력범죄(폭력),공갈,"5,763",29,2,54,22,28,293,74,4,23,138,42,395,"2,763",529,"1,367"
18,2015년,형법범,강력범죄(폭력),상해,"93,329",9,62,276,340,"4,900","4,755","2,750","5,719","1,782","1,137","4,249","7,569","46,925","4,070","8,786"
19,2015년,형법범,강력범죄(폭력),약취와 유인,290,0,0,1,1,2,6,4,10,17,3,2,4,109,29,102
20,2015년,형법범,강력범죄(폭력),체포와 감금,"2,372",3,0,2,11,35,39,242,91,49,29,19,163,612,133,944
21,2015년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","2,139",217,1,8,2,58,47,34,161,21,5,52,63,655,474,341
22,2015년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","5,119",147,22,122,26,70,64,57,105,120,175,173,205,"2,228",663,942
