No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),미상
No,자료시점,분류,분류,분류,계,남자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,여자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"1,618",768,0,1,15,81,145,140,142,139,103,2,789,0,0,9,86,174,129,152,149,89,1,61
2,2014년,형법범,강력범죄(흉악),방화,"1,707",898,0,0,2,9,44,155,252,261,175,0,598,0,0,2,10,45,97,165,180,99,0,211
3,2014년,형법범,강력범죄(흉악),살인,938,511,17,5,5,9,38,90,147,125,75,0,404,18,5,4,16,37,59,102,89,72,2,23
4,2014년,형법범,강력범죄(흉악),성폭력,"29,863","1,375",30,117,119,232,326,213,157,90,48,43,"27,129",158,900,"2,170","5,798","9,673","3,124","2,178","1,336",442,"1,350","1,359"
5,2014년,형법범,강력범죄(폭력),공갈,"7,162","4,628",1,167,801,629,763,761,659,591,246,10,"2,128",1,60,110,101,159,234,529,703,228,3,406
6,2014년,형법범,강력범죄(폭력),상해,"65,840","38,336",27,174,864,"3,525","6,553","6,637","8,432","8,255","3,851",18,"19,017",21,53,307,"1,097","2,654","3,285","4,845","4,424","2,325",6,"8,487"
7,2014년,형법범,강력범죄(폭력),약취와 유인,206,77,20,16,7,2,4,6,10,9,3,0,120,13,30,27,19,17,9,2,1,2,0,9
8,2014년,형법범,강력범죄(폭력),체포와 감금,"1,265",467,1,1,15,39,59,79,107,106,59,1,722,0,2,14,58,157,157,199,100,33,2,76
